scanner,advisory,dependency,installed,fixed_reported,subject,applicability_evidence,risk_decision,next_action,advisory_url
Trivy,CVE-2026-53613,libblkid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,libblkid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,libblkid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,libblkid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,libblkid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-53613,libmount1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,libmount1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,libmount1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,libmount1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,libmount1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-53613,libsmartcols1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,libsmartcols1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,libsmartcols1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,libsmartcols1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,libsmartcols1,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-16742,libsystemd0,252.39-1~deb12u2,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-16742
Trivy,CVE-2025-69720,libtinfo6,6.4-4,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2025-69720
Trivy,CVE-2026-16742,libudev1,252.39-1~deb12u2,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-16742
Trivy,CVE-2026-53613,libuuid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,libuuid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,libuuid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,libuuid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,libuuid1,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-53613,mount,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,mount,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,mount,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,mount,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,mount,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2025-69720,ncurses-base,6.4-4,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2025-69720
Trivy,CVE-2026-13221,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-13221
Trivy,CVE-2026-42496,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-42496
Trivy,CVE-2026-8376,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-8376
Trivy,CVE-2026-42497,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-42497
Trivy,CVE-2026-48962,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-48962
Trivy,CVE-2026-57432,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-57432
Trivy,CVE-2026-57433,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-57433
Trivy,CVE-2026-9538,perl-base,5.36.0-7+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-9538
Trivy,CVE-2026-53613,util-linux,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,util-linux,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,util-linux,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,util-linux,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,util-linux,2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-53613,util-linux-extra,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,util-linux-extra,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,util-linux-extra,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,util-linux-extra,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,util-linux-extra,,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2023-45853,zlib1g,1:1.2.13.dfsg-1,扫描表未显示,CI 后端镜像,扫描镜像安装清单；will_not_fix,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2023-45853
Trivy,CVE-2026-44307,Mako (METADATA),1.3.11,1.3.12,CI 后端镜像,扫描镜像安装清单；fixed,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-44307
Trivy,CVE-2026-48526,PyJWT (METADATA),2.12.1,2.13.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-48526
Trivy,CVE-2026-69247,cryptography (METADATA),47.0.0,50.0.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-69247
Trivy,CVE-2026-69249,cryptography (METADATA),47.0.0,49.0.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-69249
Trivy,GHSA-537c-gmf6-5ccf,cryptography (METADATA),47.0.0,48.0.1,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://github.com/advisories/GHSA-537c-gmf6-5ccf
Trivy,CVE-2026-53539,python-multipart (METADATA),0.0.27,0.0.30,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-53539
Trivy,CVE-2026-48818,starlette (METADATA),1.0.0,1.1.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-48818
Trivy,CVE-2026-54283,starlette (METADATA),1.0.0,1.3.1,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-54283
Trivy,CVE-2026-44431,urllib3 (METADATA),2.6.3,2.7.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-44431
Trivy,CVE-2026-44432,urllib3 (METADATA),2.6.3,2.7.0,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 PyPI 上游修复并单独升级 Pixi 生产锁；运行相关回归,https://nvd.nist.gov/vuln/detail/CVE-2026-44432
Trivy,GHSA-36hh-v3qg-5jq4,pyo3,0.28.2,0.29.0,CI 后端镜像,扫描镜像安装清单；fixed,组件命中；可利用路径未逐条证实，不豁免,定位 SBOM 中嵌入该 crate 的发行包；升级其上游构建后复扫,https://github.com/advisories/GHSA-36hh-v3qg-5jq4
Trivy,GHSA-4w2j-m93h-cj5j,quinn-proto,0.11.14,0.11.15,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,定位 SBOM 中嵌入该 crate 的发行包；升级其上游构建后复扫,https://github.com/advisories/GHSA-4w2j-m93h-cj5j
Trivy,GHSA-82j2-j2ch-gfr8,rustls-webpki,0.103.9,"0.103.13, 0.104.0-alpha.7",CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,定位 SBOM 中嵌入该 crate 的发行包；升级其上游构建后复扫,https://github.com/advisories/GHSA-82j2-j2ch-gfr8
